Date,Startup Name,Industry Vertical,SubVertical,City,Investors Name,InvestmentnType, Amount in USD ,,,,
04-01-2016,B9 Beverages,Food & Beverage,Craft Beer manufacturing company,New Delhi,"Sequoia Capital, Kunal Bahl, Rohit Bansal, Deepinder Goyal, Ashish Dhawan, Mayank Singhal",Private Equity,6000000,,Median,1700000,
05-01-2016,MyChild App,Ed-Tech,Child Disorder Information & Education,Bhopal,"Samir Bangara, Anisha Mittal, Amit Gupta, Pallav Nadhani, Lalit Mangal, Arihant Patni, Dr. Ritesh Malik, Deobrat Singh, Saurab Paruthi, Singapore Angel Network.",Seed,100000,,Mean,15663447.96,
05-01-2016,360Ride,Consumer Internet,Ride Sharing platform,Bengaluru,Undisclosed,Seed,150000,,IQR - 1st,500000,
05-01-2016,Alef\\nMobitech,Consumer Internet,Cloud Mobility Solutions,Mumbai,Tata Capital Innovation Fund,Private Equity,5000000,,IQR - 2nd,1700000,
06-01-2016,PlanMy\\nMedicalTrip,Healthcare,Medical Tourism platform,Pune,"Bhanu Vikram Parsotam, Rohan Desai and Paras Patel",Seed,150000,,IQR - 3rd,7600000,
06-01-2016,Sensara,Technology,"TV Search, Guide and Remote mobile app",Bengaluru,"Lalitesh Katragadda,\\xc2\\xa0 Ganayantrika Systems",Seed,750000,,,,
06-01-2016,Justdakhila.com,Ed-Tech,School Student admissions platform,New Delhi,Ankur Gupta,Seed,750000,,,,
06-01-2016,Zebpay,Consumer Internet,Bitcoin Buying & Selling Mobile App,Ahmedabad,"Arjun Handa, Amit Jindal, Nagendra Chaudhary",Private Equity,1000000,,,,
06-01-2016,MyCity4Kids,Ed-Tech,Children Education & Information platform,Gurgaon,"SIDBI Venture Capital Limited, YourNest Angel Fund",Private Equity,3000000,,,,
07-01-2016,Myly,Ed-Tech,Mobile Based Education platform,Jaipur,Newbie Promoter Pvt Ltd,Seed,100000,,,,
07-01-2016,Infurnia,Consumer Internet,Online Furniture Customization platform,Bengaluru,Idein Ventures,Seed,160000,,,,
07-01-2016,MakeMyTrip,Consumer Internet,Online Travel/Hotel Booking platform,Gurgaon,Ctrip.com International Ltd,Private Equity,180000000,,,,
08-01-2016,Gyaanzone,Ed-Tech,Career Planning and Education Advisory Platform,Mumbai,GBIM Technologies Pvt Ltd,Seed,45000,,,,
08-01-2016,ConfirmTKT,Consumer Internet,Train PNR Status Prediction Platform,Bengaluru,"Krishna Jhujhunwala, Dr. Apoorv Ranjan Sharma, Anirudh Damani, Anand Ladsariya, Sanjay Mehta & Others",Seed,250000,,,,
08-01-2016,Melorra,ECommerce,Online/ Mobile Jewellery Retailer,Bengaluru,Lightbox Ventures,Private Equity,5000000,,,,
11-01-2016,SavvyMob,ECommerce,Last Minute Hotel Bookings mobile marketplace,Bengaluru,"TV Mohandas Pai, LetsVenture",Seed,1000000,,,,
11-01-2016,Koovs,ECommerce,Online Fashion Apparel Retailer,Gurgaon,"Nahata Family, Waheed Alli",Private Equity,5400000,,,,
11-01-2016,FreshMenu,Consumer Internet,Online / Mobile Food Ordering platform,Bengaluru,"Zodius Capital, Lightspeed Venture Partners",Private Equity,16500000,,,,
12-01-2016,Happy2Refer,Consumer Internet,Mobile based Referral Platform,Mumbai,"Equity Crest, Vinners, Sparknext",Seed,250000,,,,
12-01-2016,iBus Networks,Technology,Next Generation in-building connectivity,Bengaluru,"Vallabh Bhanshali, N Squared Management LLC, Jagdish & Sandeep Mehta Family Office",Private Equity,2300000,,,,
12-01-2016,Shopclues,ECommerce,ECommerce Marketplace,Gurgaon,"GIC, Tiger Global Management, Nexus Venture Partners",Private Equity,100000000,,,,
13-01-2016,Rentomo,Consumer Internet,peer-to-peer renting Marketplace,Bengaluru,Shiva Ashok & Other unnamed investors,Seed,100000,,,,
13-01-2016,Roder,Consumer Internet,inter-city cab aggregator,New Delhi,Unicorn India Ventures,Seed,240000,,,,
13-01-2016,Care24,Healthcare,Professional Health Services Platform,Mumbai,"SAIF Partners, India Quotient",Private Equity,4000000,,,,
13-01-2016,CarTrade,Consumer Internet,Auto Classifieds Portal,Mumbai,"Temasek Holdings, March Capital, Warburg Pincus",Private Equity,145000000,,,,
14-01-2016,Orahi,Consumer Internet,Carpooling Mobile App,Gurgaon,Indian Angel Network,Seed,520000,,830.5,,
15-01-2016,Fitso,Consumer Internet,Fitness related Social Networking App & Forum,Gurgaon,"Varun Khurana, Samar Singla, Vinay Bansal,",Seed,200000,,,,
18-01-2016,Kartrocket,Consumer Internet,ECommerce Platform,New Delhi,"Bertelsmann India Investments, Nirvana Digital India Fund, Nirvana Digital Investment Holding, 500 Startups",Private Equity,6000000,,,,
19-01-2016,CollegeDunia,Consumer Internet,Educational College Search platform,New Delhi,Umang Kumar,Seed,445000,,,,
19-01-2016,DailyObjects,ECommerce,Mobile Accessories etailer,New Delhi,"Unilazer Fund,\\xc2\\xa0 Phanindra Sama, Peyush Bansal",Private Equity,1400000,,,,
19-01-2016,Villgro,Finance,Social Business Incubator & Fund,Chennai,"Lemelson Foundation, Michael and Susan Dell Foundation",Private Equity,3500000,,,,
19-01-2016,Indus OS,Technology,Local language Mobile OS,Mumbai,"Omidyar Network,",Private Equity,5000000,,,,
19-01-2016,Swiggy,Consumer Internet,Online/Mobile food ordering platform,Bengaluru,"Harmony Partners, RB Investments & existing investors",Private Equity,35000000,,,,
20-01-2016,Moodoo,Consumer Internet,Social Meeting organizer App,Mumbai,Saxafd Business School Seed Fund.,Seed,40000,,,,
20-01-2016,IndustryBuying,ECommerce,B2B Industrial Goods Marketplace,New Delhi,Trifecta Capital,Private Equity,1800000,,,,
20-01-2016,IMbesharam,ECommerce,Adult Products Etailers,United States,Undisclosed US Based Investors,Private Equity,4000000,,,,
20-01-2016,Just Buy Live,ECommerce,B2B Marketplace for Distributors,Mumbai,Alpha Capital,Private Equity,20000000,,,,
21-01-2016,Fisdom,Consumer Internet,Personal Finance Mobile App,Bengaluru,Rob Chandra,Seed,500000,,,,
21-01-2016,Easypolicy,Consumer Internet,Online insurance policy aggregator,Noida,Unilazer Ventures,Private Equity,2200000,,,,
21-01-2016,CREO,Technology,Smartphone OS Developer,Bengaluru,"Sequoia Capital, Beenext Ventures, India Quotient, Anand Chandrasekaran",Private Equity,3000000,,,,
21-01-2016,Housing.com,Consumer Internet,Online Real Estate Portal,Mumbai,SoftBank Corp,Private Equity,15000000,,,,
22-01-2016,ShabdaNagari,Consumer Internet,Hindi Language Social Networking Portal,Kanpur,Kanpur Angels & Others,Seed,200000,,,,
22-01-2016,Silvan,Technology,Home Automation & Security Solutions,Bengaluru,The Chennai Angels,Seed,515000,,,,
22-01-2016,SnapBizz,ECommerce,Mobile based Retail Market Ecosystem,Bengaluru,"Jungle Ventures, Taurus Value Creation, Konly Venture, Blume Ventures",Private Equity,7200000,,,,
22-01-2016,Qubole,Technology,Enterprise Cloud Based Data Processing,Bengaluru,"Institutional Venture Partners, Norwest Venture Partners, Lightspeed Venture Partners, CRV",Private Equity,30000000,,,,
22-01-2016,EPS,Technology,Electronic Payments Solution Company,Mumbai,APIS Partners,Private Equity,35000000,,,,
25-01-2016,SIFTR Labs,Consumer Internet,Photography curation & Aggregator platform,Mumbai,Venture Catalysts,Seed,150000,,,,
25-01-2016,Power2SME,Consumer Internet,SME Online Buying Hub,Gurgaon,"Nandan Nilekani, Accel Partners, Kalaari Capital and Inventus Capital",Private Equity,21000000,,,,
27-01-2016,Applicate,Technology,"Sales, Market, Distribution & Data Analytics Platform",Bengaluru,Undisclosed investors,Seed,1000000,,,,
27-01-2016,Buildzar,ECommerce,Construction Material ETailer,Gurgaon,Puneet Dalmia,Private Equity,4000000,,,,
28-01-2016,Truce,FMCG,Vegetables & Fruits Supply Chain,Mumbai,"Anupam Mittal, Amit Gupta, Utsav Somani, Neeraj Goenka, Farooq Adam Mukadam",Seed,370000,,,,
28-01-2016,Zebi (yet to launch),Technology,Data Intelligence & Analytics,Hyderabad,Un disclosed investors,Seed,1000000,,,,
29-01-2016,Qriyo,Consumer Internet,Online Fitness & Educational information Aggregator,Jodhpur,Idein Ventures,Seed,160000,,,,
29-01-2016,Aisle,Consumer Internet,Indians focused Matchmaking App,Bengaluru,"TermSheet, ah! Ventures",Seed,185000,,,,
29-01-2016,Rare Media,Technology,Mobile & Cloud based App developer,New Delhi,Info Edge (India) Ltd,Private Equity,1100000,,,,
29-01-2016,Truebil,ECommerce,Online marketplace for cars,Mumbai,"Kalaari Capital, Inventus Capital, Tekton Ventures, Kae Capital",Private Equity,5150000,,,,
29-01-2016,FreshMenu,Consumer Internet,Fresh Food Delivery platform,Bengaluru,"Zodius Technology Fund, Lightspeed Venture Partners",Private Equity,17000000,,,,
02-02-2016,Strike,Consumer Internet,Mobile Email productivity tool,Bengaluru,Multiple investors through Ten Minute Million competition,Seed,22500,Median,"17,95,000.00",2692500,
02-02-2016,Gamooz,Technology,Augmented Reality Solutions,Gurgaon,Multiple investors through Ten Minute Million competition,Seed,22500,Average,"1,88,36,033.89",,
02-02-2016,SoundSurround,Technology,Audio Technology Solutions,Mumbai,Multiple investors through Ten Minute Million competition,Seed,22500,Mode,1000000,,
02-02-2016,Altizone,Technology,IoT & M2M Solutions,Pune,"Wipro Ventures,\\xc2\\xa0 Lumis Partners",Private Equity,4000000,,,,
03-02-2016,Woodpie,Consumer Internet,Book Recommendation Service,Bengaluru,Ingram Content Group,Seed,30000,,,,
03-02-2016,RoadGods,ECommerce,Auto Spare Parts eTailer,New Delhi,Green House Ventures (GHV),Seed,100000,,,,
03-02-2016,Pindropmusic,Consumer Internet,Music Discovery Mobile App,Noida,Green House Ventures (GHV),Seed,100000,,,,
03-02-2016,Mazkara,Consumer Internet,Beauty & Wellness Platform,Dubai,Dunamis Ventures Pte Ltd.,Seed,1000000,,,,
04-02-2016,Perfumery,ECommerce,Fragrances & Perfume eTailer,New Delhi,Oranda Global & Others,Seed,30000,,,,
05-02-2016,DawaiLelo,Consumer Internet,Healthcare Services & Online Pharmacy Mobile App,Varanasi,Undisclosed investors,Seed,52000,,,,
05-02-2016,American Vision,Consumer Internet,Optical Store Aggregator Platform,Pune,Undisclosed investors,Seed,81000,,,,
05-02-2016,Gingercrush,ECommerce,Personalized Products & Merchandize eTailer,Vadodara,"Saha Fund, TV Mohandas Pai, Zia Mody, Mumbai Angels, Ananda Kallugadde, Rakesh Desai, Rakesh Malhotra",Private Equity,1000000,,,,
05-02-2016,ZenDrive,Technology,Safe Driving Data & Analytics platform,Bengaluru,"Sherpa Capital, Nyca Partners and Thomvest Ventures",Private Equity,13500000,,,,
06-02-2016,Heads Up For Tails,ECommerce,Pet Products eTailer,New Delhi,Undisclosed investors,Seed,1000000,,,,
08-02-2016,iStyleYou,Consumer Internet,Personal Fashion Stylist App,Gurgaon,Green House Ventures (GHV),Seed,100000,,,,
08-02-2016,AdUrCup,Consumer Internet,Ad Network,New Delhi,Green House Ventures (GHV),Seed,100000,,,,
08-02-2016,Xpressbees,ECommerce,ECommerce Logistics solutions,Pune,"SAIF Partners, IDG Ventures India, Vertex Ventures, Valiant Capital",Private Equity,12500000,,,,
10-02-2016,Anandakanda,Technology,Medicine Intake Reminder System,Pune,undisclosed investors,Seed,150000,,,,
10-02-2016,Capzest,Consumer Internet,Digital Lending Platform,Mumbai,Lion Ventures,Seed,200000,,,,
10-02-2016,Affimity,Consumer Internet,Social Networking platform,Bengaluru,undisclosed investors,Seed,1200000,,,,
12-02-2016,ActOnMagic,Technology,Cloud Analytics and Management Products,Bengaluru,Jayabalan Subramanian,Seed,125000,,,,
12-02-2016,Bonhomia,Food & Beverage,premium Tea and Coffee,New Delhi,"Alok Rawat, Grey Orange Robotics",Seed,1000000,,,,
12-02-2016,iGrenEnergi,Technology,Solar Power Solutions,Mumbai,Sunil Mehta,Seed,1000000,,,,
12-02-2016,RKSV,Consumer Internet,Online Stock Trading Platform,Mumbai,Kalaari Capital,Private Equity,4000000,,,,
15-02-2016,GoYaNo,Consumer Internet,Events & Restaurant Discovery Marketplace App,Gurgaon,Mukesh Kumar Gupta,Seed,50000,,,,
15-02-2016,RentSher,Consumer Internet,Online Household Product Rental platform,Bengaluru,"Vaibhav Doshi, Abhay Singhal, Vibhu Garg, Joby Babu, Abhishek Acharya, Manish Shah",Seed,300000,,,,
15-02-2016,Buddy,Finance,Micro Lending Platform for eCommerce purchases,Bengaluru,"Blume Ventures,\\xc2\\xa0 Tracxn Labs",Seed,500000,,,,
15-02-2016,Aasaanjobs,Consumer Internet,Online Recruitment Marketplace,Mumbai,"Aspada Advisors, IDG Ventures,\\xc2\\xa0 Inventus Capital",Private Equity,5000000,,,,
15-02-2016,Snapdeal,ECommerce,Horizontal Online Marketplace,New Delhi,Ontario Teachers   Pension Plan & Others,Private Equity,200000000,,,,
16-02-2016,BetterPlace,Technology,Data analytics based Verification services Platform,Bengaluru,Unitus Seed Fund,Seed,970000,,,,
16-02-2016,TableHero,Consumer Internet,Dynamic Restaurant Website creator,Bengaluru,"GrowX Ventures, Kunal Shah, Sandeep Tandon, Haresh Chawla, Powai Lake Ventures, Globevestor",Seed,1000000,,,,
16-02-2016,icustommadeit,ECommerce,Professional Custom creators Marketplace,Pune,"Brand Capital, Siddhivinayak Skyscrapers, Dinesh R. Challa",Private Equity,4000000,,,,
17-02-2016,GameZop,Technology,Mobile Gaming Platform,New Delhi,"KWAN Entertainment & Marketing Solutions, Powerhouse Ventures & Others",Seed,350000,,,,
17-02-2016,Avanti Learning,Education,Private Coaching Classes,New Delhi,Michael & Susan Dell Foundation,Private Equity,5000000,,,,
17-02-2016,The Viral Fever,Consumer Internet,Independent Online Video production company,Mumbai,Tiger Global,Private Equity,10000000,,,,
18-02-2016,HealthKumbh,Consumer Internet,Health related Information portal,Ahmedabad,Undisclosed investor,Seed,73000,,,,
18-02-2016,Careongo,ECommerce,Online Pharmacy store,New Delhi,Farooq Oomerbhoy & Other angel investors,Seed,300000,,,,
18-02-2016,Ark Robot,Technology,Warehouse Automation,Bengaluru,Qualcomm (Through QPrize Contest),Seed,350000,,,,
19-02-2016,Advantage Club,Consumer Internet,mobile platform for corporate employee benefits,Gurgaon,Purvi Ventures & Others,Seed,400000,,,,
19-02-2016,Jaypore,ECommerce,Ethnic Products marketplace,New Delhi,Aavishkaar,Private Equity,5000000,,,,
22-02-2016,Styledotme,Consumer Internet,Mobile Fashion App,New Delhi,Indian Angel Network,Seed,37000,,,,
22-02-2016,First Eat,Consumer Internet,Healthy Food Delivery platform,New Delhi,Undisclosed investor,Seed,100000,,,,
22-02-2016,Baby Berry,Consumer Internet,Parenting Mobile app,Bengaluru,Nitin Bagmane & Other undisclosed investors,Seed,1000000,,,,
22-02-2016,Magicpin,Consumer Internet,Hyperlocal Discover Mobile App,New Delhi,Lightspeed India,Private Equity,3000000,,,,
22-02-2016,Taskbob,Consumer Internet,Hyperlocal Handyman services platform,Mumbai,"IvyCap Ventures, Orios Venture Partners, Mayfield India",Private Equity,4500000,,,,
23-02-2016,CupoNation,Consumer Internet,Deals and Discount platform,Gurgaon,"Rocket Internet AG, Holtzbrink Ventures, New Enterprise Associates (NEA), e.ventures, ru-Net, Deutsche Telekom Strategic Investments (DTSI), Silicon Valley Bank",Private Equity,11000000,,,,
24-02-2016,Pocketin,Consumer Internet,Hotel reservations & Deal platform,Noida,Swastika Company Ltd,Seed,150000,,,,
